[0.019s] Invoking command in '/home/jaeho/project_ws/build/doosan_m0609_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jaeho/project_ws/install/precision_liquid_pouring:/home/jaeho/project_ws/install/doosan_m0609_bringup:/home/jaeho/project_ws/install/chemistry_experiment_manager:/home/jaeho/project_ws/install/arduino_loadcell_interface:/opt/ros/humble /usr/bin/cmake /home/jaeho/project_ws/src/doosan_m0609_description -DCMAKE_INSTALL_PREFIX=/home/jaeho/project_ws/install/doosan_m0609_description
[0.204s] -- The C compiler identification is GNU 11.4.0
[0.941s] -- The CXX compiler identification is GNU 11.4.0
[1.483s] -- Detecting C compiler ABI info
[1.683s] -- Detecting C compiler ABI info - done
[1.691s] -- Check for working C compiler: /usr/bin/cc - skipped
[1.691s] -- Detecting C compile features
[1.691s] -- Detecting C compile features - done
[1.695s] -- Detecting CXX compiler ABI info
[1.905s] -- Detecting CXX compiler ABI info - done
[1.913s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[1.913s] -- Detecting CXX compile features
[1.914s] -- Detecting CXX compile features - done
[1.918s] -- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)
[2.113s] -- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
[2.297s] -- Configuring done
[2.302s] -- Generating done
[2.305s] -- Build files have been written to: /home/jaeho/project_ws/build/doosan_m0609_description
[2.311s] Invoked command in '/home/jaeho/project_ws/build/doosan_m0609_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jaeho/project_ws/install/precision_liquid_pouring:/home/jaeho/project_ws/install/doosan_m0609_bringup:/home/jaeho/project_ws/install/chemistry_experiment_manager:/home/jaeho/project_ws/install/arduino_loadcell_interface:/opt/ros/humble /usr/bin/cmake /home/jaeho/project_ws/src/doosan_m0609_description -DCMAKE_INSTALL_PREFIX=/home/jaeho/project_ws/install/doosan_m0609_description
[2.314s] Invoking command in '/home/jaeho/project_ws/build/doosan_m0609_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jaeho/project_ws/install/precision_liquid_pouring:/home/jaeho/project_ws/install/doosan_m0609_bringup:/home/jaeho/project_ws/install/chemistry_experiment_manager:/home/jaeho/project_ws/install/arduino_loadcell_interface:/opt/ros/humble /usr/bin/cmake --build /home/jaeho/project_ws/build/doosan_m0609_description -- -j8 -l8
[2.362s] Invoked command in '/home/jaeho/project_ws/build/doosan_m0609_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jaeho/project_ws/install/precision_liquid_pouring:/home/jaeho/project_ws/install/doosan_m0609_bringup:/home/jaeho/project_ws/install/chemistry_experiment_manager:/home/jaeho/project_ws/install/arduino_loadcell_interface:/opt/ros/humble /usr/bin/cmake --build /home/jaeho/project_ws/build/doosan_m0609_description -- -j8 -l8
[2.375s] Invoking command in '/home/jaeho/project_ws/build/doosan_m0609_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jaeho/project_ws/install/precision_liquid_pouring:/home/jaeho/project_ws/install/doosan_m0609_bringup:/home/jaeho/project_ws/install/chemistry_experiment_manager:/home/jaeho/project_ws/install/arduino_loadcell_interface:/opt/ros/humble /usr/bin/cmake --install /home/jaeho/project_ws/build/doosan_m0609_description
[2.384s] -- Install configuration: ""
[2.384s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes
[2.385s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue
[2.386s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_6_0.dae
[2.388s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_5_0.dae
[2.402s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_2_0.dae
[2.411s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_0_0.dae
[2.417s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_4_0.dae
[2.427s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_2_2.dae
[2.435s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_2_1.dae
[2.458s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_1_0.dae
[2.467s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_4_1.dae
[2.473s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/h2017_blue/H2017_3_0.dae
[2.481s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white
[2.481s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_3_0.dae
[2.483s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_2_2.dae
[2.486s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_6_0.dae
[2.489s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_2_1.dae
[2.515s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_4_0.dae
[2.518s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_0_0.dae
[2.525s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_4_1.dae
[2.527s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_1_0.dae
[2.531s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_2_0.dae
[2.534s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1509_white/MF1509_5_0.dae
[2.537s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white
[2.537s] -- Installing: /home/jaeho/project_ws/install/doosan_m0609_description/share/doosan_m0609_description/meshes/m1013_white/MF1013_2_0.dae
