timestamp,raw,ma,ema,kalman_simple,kalman_pv,ekf,ukf
2025-08-04T11:46:01.966895,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2025-08-04T11:46:02.168432,-79.655,-37.328,-11.931,-9.109,-78.825,-78.826,-78.818
2025-08-04T11:46:02.268492,-79.656,-51.437,-25.476,-23.961,-79.656,-79.658,-79.255
2025-08-04T11:46:02.367801,-79.655,-58.492,-36.312,-37.158,-79.933,-79.917,-79.408
2025-08-04T11:46:02.468151,-79.663,-62.726,-44.982,-47.87,-79.974,-79.951,-79.491
2025-08-04T11:46:02.567950,-79.655,-65.547,-51.917,-56.146,-79.948,-79.917,-79.54
2025-08-04T11:46:02.668614,-79.67,-67.565,-57.467,-62.378,-79.922,-79.883,-79.577
2025-08-04T11:46:02.767941,-79.673,-69.078,-61.908,-67.002,-79.897,-79.848,-79.604
2025-08-04T11:46:02.868270,-79.66,-70.254,-65.459,-70.402,-79.87,-79.809,-79.619
2025-08-04T11:46:02.967858,-79.666,-71.195,-68.3,-72.898,-79.85,-79.78,-79.632
2025-08-04T11:46:03.068594,-79.649,-79.66,-70.57,-74.719,-79.828,-79.747,-79.637
2025-08-04T11:46:03.168128,-79.68,-79.663,-72.392,-76.058,-79.82,-79.733,-79.648
2025-08-04T11:46:03.268071,-79.681,-79.665,-73.85,-77.036,-79.812,-79.721,-79.657
2025-08-04T11:46:03.368609,-79.665,-79.666,-75.013,-77.746,-79.801,-79.704,-79.659
2025-08-04T11:46:03.468508,-79.705,-79.67,-75.951,-78.275,-79.801,-79.706,-79.672
2025-08-04T11:46:11.921111,-0.018,-71.707,-60.765,-57.135,-60.589,-49.462,-58.149
2025-08-04T11:46:12.432574,-0.016,-63.741,-48.615,-41.705,-45.288,-28.63,-42.442
2025-08-04T11:46:12.945547,-0.026,-55.777,-38.897,-30.445,-32.98,-14.654,-30.983
2025-08-04T11:46:13.456860,-0.014,-47.812,-31.12,-22.224,-22.986,-5.455,-22.616
2025-08-04T11:46:13.968246,-0.006,-39.846,-24.898,-16.222,-14.812,0.474,-16.508
2025-08-04T11:46:14.480562,0.008,-31.88,-19.916,-11.837,-8.081,4.185,-12.046
2025-08-04T11:46:14.992287,0.016,-23.911,-15.93,-8.635,-2.508,6.395,-8.787
2025-08-04T11:46:15.504616,-0.006,-15.943,-12.745,-6.304,2.122,7.586,-6.415
2025-08-04T11:46:16.016606,0.01,-7.976,-10.194,-4.598,5.987,8.108,-4.679
2025-08-04T11:46:16.531688,-0.008,-0.006,-8.157,-3.358,9.219,8.177,-3.417
2025-08-04T11:46:17.044385,0.005,-0.004,-6.525,-2.449,11.93,7.965,-2.493
2025-08-04T11:46:17.556006,-0.018,-0.004,-5.223,-1.793,14.2,7.566,-1.824
2025-08-04T11:46:18.068610,-0.015,-0.003,-4.182,-1.312,16.105,7.068,-1.335
2025-08-04T11:46:18.580084,-0.015,-0.003,-3.348,-0.962,17.7,6.518,-0.979
2025-08-04T11:46:19.092488,0.011,-0.001,-2.676,-0.699,19.036,5.96,-0.711
2025-08-04T11:46:19.604141,0.006,-0.001,-2.14,-0.509,20.146,5.404,-0.518
