seq,timestamp_pub,timestamp_recv,latency_ms,message_size,duplicate,order_violation
1,1753174757.5983162,1753174757.9810884,382.77220726013184,65591,False,False
2,1753174757.7035553,1753174758.054569,351.0136604309082,65591,False,False
3,1753174757.8109188,1753174758.1296494,318.73059272766113,65591,False,False
4,1753174757.9244504,1753174758.1312265,206.77614212036133,65591,False,False
5,1753174758.037734,1753174758.2315643,193.8302516937256,65590,False,False
6,1753174758.1489465,1753174758.4123561,263.4096145629883,65591,False,False
7,1753174758.2614913,1753174758.5127928,251.30152702331543,65591,False,False
8,1753174758.367481,1753174758.613513,246.0319995880127,65590,False,False
9,1753174758.4752135,1753174758.7314842,256.2706470489502,65591,False,False
10,1753174758.5789363,1753174758.8324556,253.51929664611816,65592,False,False
11,1753174758.6827774,1753174758.9340155,251.2381076812744,65592,False,False
12,1753174758.7925732,1753174759.0557802,263.20695877075195,65592,False,False
13,1753174758.9039192,1753174759.155693,251.77383422851562,65592,False,False
14,1753174759.0166807,1753174759.2796137,262.93301582336426,65592,False,False
15,1753174759.1287837,1753174759.3815105,252.72679328918457,65592,False,False
16,1753174759.2363944,1753174759.481899,245.50461769104004,65592,False,False
17,1753174759.3478487,1753174759.609954,262.10546493530273,65592,False,False
18,1753174759.4591658,1753174759.7128086,253.64279747009277,65592,False,False
19,1753174759.5668921,1753174759.8133023,246.41013145446777,65592,False,False
20,1753174759.6750798,1753174759.9388826,263.80276679992676,65592,False,False
21,1753174759.7862709,1753174760.0406861,254.41527366638184,65592,False,False
22,1753174759.8940334,1753174760.1406953,246.66190147399902,65592,False,False
23,1753174760.0014198,1753174760.2652698,263.84997367858887,65592,False,False
24,1753174760.112556,1753174760.3637948,251.23882293701172,65591,False,False
25,1753174760.2204087,1753174760.4654465,245.03779411315918,65592,False,False
26,1753174760.3283453,1753174760.5887408,260.3955268859863,65592,False,False
27,1753174760.4362578,1753174760.68995,253.6921501159668,65592,False,False
28,1753174760.5471413,1753174760.8105323,263.39101791381836,65592,False,False
29,1753174760.658746,1753174760.9111793,252.43330001831055,65591,False,False
30,1753174760.7663043,1753174761.0127287,246.42443656921387,65592,False,False
31,1753174760.877339,1753174761.1394753,262.13645935058594,65591,False,False
32,1753174760.9884152,1753174761.2414722,253.05700302124023,65592,False,False
33,1753174761.1017096,1753174761.3635054,261.7957592010498,65592,False,False
34,1753174761.210114,1753174761.463528,253.41391563415527,65591,False,False
35,1753174761.3215303,1753174761.585421,263.89074325561523,65592,False,False
36,1753174761.4333868,1753174761.686492,253.10516357421875,65592,False,False
37,1753174761.5465722,1753174761.809258,262.68577575683594,65592,False,False
38,1753174761.6590464,1753174761.9103265,251.2800693511963,65592,False,False
39,1753174761.7707047,1753174762.0300705,259.3657970428467,65592,False,False
40,1753174761.8788905,1753174762.1321716,253.2811164855957,65592,False,False
41,1753174761.987328,1753174762.2332592,245.93114852905273,65591,False,False
42,1753174762.0989535,1753174762.3613014,262.347936630249,65592,False,False
43,1753174762.2102242,1753174762.4622157,251.99151039123535,65592,False,False
44,1753174762.3217335,1753174762.56501,243.27659606933594,65592,False,False
45,1753174762.4296567,1753174762.6932092,263.5524272918701,65592,False,False
46,1753174762.5425167,1753174762.7960505,253.53384017944336,65592,False,False
47,1753174762.6504552,1753174762.895211,244.75574493408203,65592,False,False
48,1753174762.7588992,1753174763.0220354,263.1361484527588,65592,False,False
49,1753174762.8707094,1753174763.1246123,253.90291213989258,65592,False,False
50,1753174762.9816816,1753174763.2263823,244.70067024230957,65592,False,False
51,1753174763.0897725,1753174763.353328,263.55552673339844,65592,False,False
52,1753174763.2013822,1753174763.4542198,252.8376579284668,65592,False,False
53,1753174763.3091168,1753174763.5555515,246.43468856811523,65592,False,False
54,1753174763.4210742,1753174763.6847017,263.6275291442871,65592,False,False
55,1753174763.5337842,1753174763.7877142,253.93009185791016,65592,False,False
56,1753174763.6414661,1753174763.8873968,245.93067169189453,65592,False,False
57,1753174763.753545,1753174764.0196621,266.1170959472656,65591,False,False
58,1753174763.8611815,1753174764.1208494,259.66787338256836,65592,False,False
59,1753174763.9693782,1753174764.2220695,252.69126892089844,65592,False,False
60,1753174764.0815473,1753174764.34418,262.6328468322754,65592,False,False
61,1753174764.1931186,1753174764.4457114,252.5928020477295,65592,False,False
62,1753174764.3014388,1753174764.5478127,246.37389183044434,65592,False,False
63,1753174764.4095473,1753174764.6722705,262.7232074737549,65592,False,False
64,1753174764.5216866,1753174764.7737052,252.01869010925293,65592,False,False
65,1753174764.63415,1753174764.8920372,257.8871250152588,65590,False,False
66,1753174764.7420685,1753174764.9941053,252.03680992126465,65592,False,False
67,1753174764.8496945,1753174765.0944886,244.79413032531738,65592,False,False
68,1753174764.9622686,1753174765.2257106,263.4420394897461,65592,False,False
69,1753174765.0739415,1753174765.3253613,251.4197826385498,65592,False,False
70,1753174765.1865067,1753174765.4458168,259.3100070953369,65592,False,False
71,1753174765.295063,1753174765.547022,251.95908546447754,65591,False,False
72,1753174765.4080484,1753174765.670309,262.26067543029785,65592,False,False
73,1753174765.5200312,1753174765.7719011,251.86991691589355,65592,False,False
74,1753174765.632112,1753174765.8917518,259.6397399902344,65591,False,False
75,1753174765.7402024,1753174765.9933228,253.12042236328125,65592,False,False
76,1753174765.8524833,1753174766.111614,259.13071632385254,65592,False,False
77,1753174765.9606352,1753174766.213937,253.30185890197754,65592,False,False
78,1753174766.0722377,1753174766.3141248,241.88709259033203,65592,False,False
79,1753174766.1800125,1753174766.440187,260.1745128631592,65592,False,False
80,1753174766.2878518,1753174766.5430748,255.22303581237793,65592,False,False
81,1753174766.39963,1753174766.6433954,243.76535415649414,65590,False,False
