seq,timestamp_pub,timestamp_recv,latency_ms,message_size,duplicate,order_violation
1,1753175574.8138433,1753175575.2360294,422.18613624572754,65591,False,False
2,1753175574.8913808,1753175575.3139184,422.53756523132324,65591,False,False
3,1753175574.9716034,1753175575.3908925,419.28911209106445,65591,False,False
4,1753175575.0519319,1753175575.3934252,341.4933681488037,65591,False,False
5,1753175575.1300402,1753175575.4691021,339.061975479126,65591,False,False
6,1753175575.2117112,1753175575.5583587,346.6475009918213,65591,False,False
7,1753175575.2949274,1753175575.6601217,365.19432067871094,65591,False,False
8,1753175575.3762624,1753175575.7597988,383.53633880615234,65591,False,False
9,1753175575.4585881,1753175575.8600929,401.5047550201416,65591,False,False
10,1753175575.5383866,1753175575.96282,424.43346977233887,65592,False,False
11,1753175575.6172528,1753175576.0635326,446.27976417541504,65592,False,False
12,1753175575.6947362,1753175576.164571,469.8348045349121,65592,False,False
13,1753175575.776177,1753175576.265477,489.300012588501,65591,False,False
14,1753175575.854155,1753175576.3668988,512.7437114715576,65591,False,False
15,1753175575.93245,1753175576.4675105,535.0604057312012,65590,False,False
16,1753175576.0152597,1753175576.572224,556.9641590118408,65592,False,False
17,1753175576.0931935,1753175576.6690733,575.8798122406006,65592,False,False
18,1753175576.1726253,1753175576.76933,596.7047214508057,65592,False,False
19,1753175576.250256,1753175576.873183,622.9269504547119,65591,False,False
20,1753175576.3329353,1753175576.9742868,641.3514614105225,65592,False,False
